"","Date","Temperature","Celsius"
"313",1986-07-23,"ATMP",6.1
"314",1986-07-24,"ATMP",7
"315",1986-07-25,"ATMP",7.6
"316",1986-07-26,"ATMP",9
"317",1986-07-27,"ATMP",7.3
"318",1986-07-28,"ATMP",8.7
"319",1986-07-29,"ATMP",7.6
"320",1986-07-30,"ATMP",8.9
"321",1986-07-31,"ATMP",8.5
"322",1986-08-01,"ATMP",7.6
"323",1986-08-02,"ATMP",7.6
"324",1986-08-03,"ATMP",7.7
"325",1986-08-04,"ATMP",7.6
"326",1986-08-05,"ATMP",8.2
"327",1986-08-06,"ATMP",8.2
"328",1986-08-07,"ATMP",7.8
"329",1986-08-08,"ATMP",8.1
"330",1986-08-09,"ATMP",8.3
"331",1986-08-10,"ATMP",8.2
"332",1986-08-11,"ATMP",8.6
"333",1986-08-12,"ATMP",8.9
"334",1986-08-13,"ATMP",9.5
"335",1986-08-14,"ATMP",9.4
"336",1986-08-15,"ATMP",9
"337",1986-08-16,"ATMP",9.2
"338",1986-08-17,"ATMP",9.2
"339",1986-08-18,"ATMP",8.4
"340",1986-08-19,"ATMP",9.7
"341",1986-08-20,"ATMP",10.4
"342",1986-08-21,"ATMP",10.1
"343",1986-08-22,"ATMP",9.9
"344",1986-08-23,"ATMP",9.3
"345",1986-08-24,"ATMP",8.8
"346",1986-08-25,"ATMP",7.6
"347",1986-08-26,"ATMP",8.6
"348",1986-08-27,"ATMP",7.7
"349",1986-08-28,"ATMP",7.6
"350",1986-08-29,"ATMP",7.1
"351",1986-08-30,"ATMP",8.5
"352",1986-08-31,"ATMP",9
"353",1986-09-01,"ATMP",7.2
"354",1986-09-02,"ATMP",8.2
"355",1986-09-03,"ATMP",9.1
"356",1986-09-04,"ATMP",8.8
"357",1986-09-05,"ATMP",5.9
"358",1986-09-06,"ATMP",6.5
"359",1986-09-07,"ATMP",8.1
"360",1986-09-08,"ATMP",7.6
"361",1986-09-09,"ATMP",9.2
"362",1986-09-10,"ATMP",9
"363",1986-09-11,"ATMP",7.7
"364",1986-09-12,"ATMP",8.8
"365",1986-09-13,"ATMP",8.2
"366",1986-09-14,"ATMP",8.6
"367",1986-09-15,"ATMP",8.9
"368",1986-09-16,"ATMP",8.5
"369",1986-09-17,"ATMP",7.7
"370",1986-09-18,"ATMP",7.7
"371",1986-09-19,"ATMP",7.1
"372",1986-09-20,"ATMP",7.3
"373",1986-09-21,"ATMP",7.8
"374",1986-09-22,"ATMP",6.4
"375",1986-09-23,"ATMP",7.2
"376",1986-09-24,"ATMP",8
"377",1986-09-25,"ATMP",7
"378",1986-09-26,"ATMP",7.6
"379",1986-09-27,"ATMP",6.7
"380",1986-09-28,"ATMP",6.2
"381",1986-09-29,"ATMP",7.1
"382",1986-09-30,"ATMP",5.9
